Authors,Title & Publication,Date,Summary,Summary,Method,Category,Country,Link
Bouke Klein Teeselink,Generative AI and Labor Market Outcomes: Evidence from the United Kingdom(working paper),Oct 2025,"Used U.K. firm and vacancy data (2021–2025) to study differential impacts in firms/jobs with varying exposure to LLM capabilities. Results show high-LLM-exposed firms cut total employment, especially entry-level hiring. These firms sharply pulled back on new hires in technical roles (e.g. software, data analysis)[28]. At the occupation level, highly exposed roles saw fewer job postings and lower advertised salaries relative to less-exposed roles[29]. Notably, the contraction is concentrated in the high-wage segment of the labor market – high-paying firms and occupations saw significant job and pay declines, whereas low-wage jobs were largely unaffected[30]. This implies generative AI may reduce demand for certain high-skilled jobs, potentially compressing wage inequality from the top down.","• Combines private UK labor market data with a standard measure of AI exposure (Eloundou et al) to estimate the impact of AI since 2022 on employment, wages, pay dispersion, job seniority, and hiring dynamics.
• Finds the most exposed firms experienced a 4.5% fall in total employment relative to firms without exposure, with the decline skewed toward junior positions.
• The most exposed firms posted 16pp fewer job ads, with the biggest declines in technical and creative roles and small increases in customer-facing roles.
• Highly exposed occupations saw a 23% decline in job postings, and became marginally less likely to allow remote work.
• These effects were concentrated in high-wage jobs and firms, suggesting that LLMs may, initially at least, compress wages rather than increase inequality.",Quasi-Experimental,Employment Impact,UK,SSRN Working Paper (Oct 2025)
"Danqing Chen, Carina Kane, Austin Kozlowski, Nadav Kunievsky, James A. Evans ",The (Short-Term) Effects of LLMs on Unemployment and Earnings (arXiv preprint),Sep 2025,"Analyzed U.S. occupational outcomes in the wake of ChatGPT’s release by comparing high vs. low AI-exposure occupations. They find no spike in unemployment for highly exposed jobs, but do detect a significant earnings increase for workers in high-exposure occupations after late 2022[31][32]. In other words, early adjustments to generative AI appear to be happening through wage growth (productivity gains) rather than job losses[31][32]. These results suggest that in the short run, generative AI’s main labor market effect has been to raise the earnings of workers in AI-intensive jobs, with little evidence of displacement so far.","• Using an AI exposure measure based on Claude prompts, analyzes US unemployment rates and wages before and after the release of ChatGPT.
• Find that the release of ChatGPT raised earnings for workers in highly exposed occupations by an average of $89 per week, with the effect concentrated in 2024 and 2025. They find no observable effect on unemployment rates. 
• Agree with the EIG finding that the most exposed occupations have consistently lower unemployment than less exposed occupations.",Quasi-Experimental,Employment Impact,US,arXiv preprint (Sep 2025)
"Fabrizio Dell'Acqua, Edward McFowland III, Ethan R. Mollick, etc.",Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of AI on Knowledge Worker Productivity and Quality,Sep 2023,"Field RCT with 750+ consultants given access to GPT 4 vs control. More tasks completed, faster, higher quality, but varied by task and most pronounced for “AI amenable” tasks","• RCT in 2023 with ~750 BCG consultants given access to either no AI, GPT-4, or GPT-4 with a prompt engineering overview.
• For tasks within the distribution of 2023 AI capabilities, consultants with AI access completed 12% more tasks, finished each task 25% faster, and acored 40% better on a quality rubric. The effect was strongest among below average consultants, who improved quality by 43%, but still positive among above average consultants, whoc improved quality by 17%.
• For tasks outside the frontier of AI capabilities, consultants with AI access were 19pp less accurate than those without AI.
• How consultants used AI also varied: some (the paper calls them centaurs) delegated tasks to the AI while completing other tasks themselves, while others (cyborgs) integrating AI into their task flow and interacted with the chatbot more continuously.",Experimental,Productivity Impact,US,SSRN (Sep 2023)
"Xiang Hui, Oren Reshef, & Luofeng Zhou",The Short-Term Effects of Generative Artificial Intelligence on Employment: Evidence from an Online Labor Market,Aug 2023,"Upwork panel of freelancers before/after chatgpt, DallE2, midjourney releases. In affected categories, freelancers’ employment and earnings fell in the short run ","• Uses data from Upwork to analyze the employment and earnings of freelancers before and after the release of ChatGPT, Dall-E 2, and Midjourney in 2022.
• Find that the release of ChatGPT reduced the number of monthly job offerings in writing-related occupations by 2% and reduced monthly earnings on Upwork by 5.2%.
• The release of Dall-E 2 and Midjourney similarly reduced monthly job postings in related fields by 3.7% and earnings by 9.4%.",Quasi-Experimental,Employment Impact,US,SSRN (Aug 2023)
Antti Kauhanen & Petri Rouvinen,Assessing early labor market effects of generative AI: Evidence from population data,Nov 2024,"Synthetic DiD by occupation across full Finnish population. Post ChatGPT no negative short-run employment effects, wages rose relatively more in highly exposed occupations ","• Used data on all wage earners in Finland to assess the impact of ChatGPT on the labor market from Nov 2022 - Nov 2024.
• Find no significant differences in changes in wage or employment levels between more and less exposed occupations.
• They suggest LLMs may be both complementing and substituting for human labor in the short term, raising productivity in some tasks and replacing humans in others, with close to zero net effect so far.",Descriptive,Employment Impact,Finland,https://www.tandfonline.com/doi/full/10.1080/13504851.2025.2513973?af=R
"Erik Engberg, Mark Hellsten, Farrukh Javed, Magnus Lodefalk, Radka Sabolová, & Sarah Schroeder","Artificial intelligence, hiring and employment: job postings evidence from Sweden",2024,Covers 2014-2022 Swedish job postings Ai exposed firms hire more AI related workers Compositional changes but no large aggregate losses ,"• Combines universal Swedish employment data from 2014 - 2022 with a measure of occupational AI exposure.
• Finds that (pre widespread LLM use), firms more exposed to AI competition hire more AI workers and use more AI services.
• The net effect of pre-LLM AI was to increase hiring for both AI and non-AI related roles, but without substantial resulting productivity increases overall. They suggest that AI exposed firms may be using AI to augment existing roles and hrie more complementary workers, rather than using it to replace workers.",Descriptive,Employment Impact (Pre-LLM),Sweden,https://www.tandfonline.com/doi/full/10.1080/13504851.2025.2497431?af=R
"Jonathan Hartley, Filip Jolevski, Vitor Melo, & Brendan Moore",The Labor Market Effects of Generative Artificial Intelligence,Apr 2025,"Surveys adoption finding rise from 30% LLM use in Dec. 2024 to 36.7% in Sept. 2025 Small effect on wages in more exposed occupations, no significant effect on job openings or total jobs ","• Two elements: survey of AI use in the workplace and analysis of AI's effects on wages and employment since 2022 using private job posting data and BLS wage data.
• Previous surveys show varying AI adoption: a 2023 Pew survey found 20% teens used ChatGPT for schoolwork; a 2024 Pew survey similarly found 20% of American workers had used it at work at least once/year; and the biweekly US Census Business Trends and Outlook Survey found that 3.7% of firms used AI in Sept 2023 and 5.4% in Feb 2024.
• This paper surveyed a nationally representative sample of U.S. workers and found LLM use at work rose from 30% in Dec 2024, to 43% in March/April 2025, to 46% in June/July 2025. Among LLM users, 1/3 said they used it every work day.
• Their analysis of job postings and BLS data found that more AI-exposed occupations saw wage gains since late 2022, while employment levels and job postings did not change.",Descriptive,Employment Impact,US,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5136877
"
Yueling Huang",The Labor Market Impact of Artificial Intelligence: Evidence from US Regions,Sept 2024,Pre chatGPT: data from 2010-2021 Finds larger decline in epop ratio in commuting zones with higher AI adoption Effect mainly in manufacturing and low skilled serviced sectors and young+old employees. Worse for men than women ,"• Examines labor impact of AI in the U.S. from 2010 to 2021 by exploiting regional variation in AI adoption.
• Areas with higher AI adoption experienced larger declines in employment-to-population ratio, with the decline beying disproportionately borne by low-skill services and manufacturing sectors, non-STEM workers, men, young and old workers.",Quasi-Experimental,Employment Impact (Pre-LLM),US,https://www.imf.org/en/Publications/WP/Issues/2024/09/13/The-Labor-Market-Impact-of-Artificial-Intelligence-Evidence-from-US-Regions-554845
"Ole Teutloff, Johanna Einsiedler, Otto Kässi, Fabian Braesemann, Pamela Mishkin, & R. Maria del Rio-Chanona",Winners and losers of generative AI: Early Evidence of Shifts in Freelancer Demand,July 2025,LLM-based clustering shows 10% of job postings are substitutable by GenAI. • GenAI cut demand for substitutable skill clusters by up to 50% in short-term roles. • Demand for some complementary AI clusters like machine learning increased. • Demand for novice workers in complementary roles declined. • Aggregate freelance demand did not decrease after the ChatGPT launch.,"• Uses data from a leading freelancing platform to categorize skills as substitutable, complementary, or unaffected by LLMs. Concludes that about 10% of job postings on the platform are for substitutable skills.
• Finds that after the release of ChatGPT, labor demand rose for  complementary and unaffected skills, and declined by 20-50% relative to trend for substitutable skills, such as writing and translation.
• Although complementary skills saw overall increased demand, some elements declined. Demand for ML programming grew by 24% relative to trend, demand for chatbot development tripled, while demand for novice workers fell overall.",Quasi-Experimental,Employment Impact,US,https://www.sciencedirect.com/science/article/pii/S0167268124004591
"R. Maria del Rio-Chanona, Ekkehard Ernst, Rossana Merola, Daniel Samaan, Ole Teutloff","AI and Jobs: A review of theory, estimates, and evidence",Sept 2025,"Meta analysis of RCTs, field experiments, and other data. New classification of task complexity. Bigger productivity gains in RCTs than field experiments. Mild evidence of declining demand for junior workers in writing/translation. Bigger declease in novice jobs in AI complementary work from surveys/admin data. Lit gaps include limited types of LLMs used, tech centric AI exposure measures and variance, use of simple tasks","• Surveys a wide range of studies of AI impact on productivity to find that productivity gains vary heavily based on context. Gains are 20-60% in RCTs, 15-30% in field experiments.
• In simple tasks, novice workers seem to benefit the most. In more complex tasks, evidence is mixed on whether novice or experienced workers benefit more.
• In writing and translation tasks, digital trace data show rising demand for AI and substitution of machines for humans, along with mild evidence of declining demand for novice workers.
• The most recent studies show more substantial declines in demand for novice workers in AI complementary jobs.",Meta-analysis,Productivity Impact,US,https://arxiv.org/pdf/2509.15265
Guy Lichtinger & Seyed Hosseini,Generative AI as Seniority-Biased Technological Change: Evidence from U.S. Résumé and Job Posting Data,Sept 2025,"Following GenAI adoption, junior employment declines sharply in adopting firms relative to non-adopters, while senior employment remains largely unchanged. The junior decline is concentrated in occupations most exposed to GenAI and is driven by slower hiring rather than increased separations or promotions.","• Using private data sets from Linkedin and Revelio Labs to track firm-level employment by seniority from 2015 to 2025, and cross-check with generative AI adoption, as measured by whether a firm hires for an ""AI integrator"" to implement or operate AI in its work.
• Find that in firms that hire AI integrators, employment for junior workers in AI exposed roles declines sharply relative to non adoptors. Senior employment doesn't change. The junior decline is driven by reduced hiring, not greater firing.",Descriptive,Employment Impact,US,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5425555
"Dirk Czarnitzki,  Gastón P. Fernández, & Christian Rammer",Artificial intelligence and firm-level productivity,July 2023,German firms: positive and significant associations between the use of AI and firm productivity,"• Looks at the effect of AI adoption in German firms in 2022 (pre LLM era), finding significant positive impact on productivity.",Quasi-Experimental,Employment Impact (Pre-LLM),Germany,https://www.sciencedirect.com/science/article/pii/S0167268123001531
Samuel Muehlemann ,AI Adoption and Workplace Training (IZA working paper),Oct 2024,"2019-2021 data, AI adoption reduces the provision of continuing training for incumbent workers while increasing the share of high-skilled new hires and decreasing medium-skilled hires, thereby contributing to skill polarization. However, AI adoption also increases the number of apprenticeship contracts, particularly in small and medium-sized enterprises (SMEs).","• Looks at AI adoption in German firms from 2019 to 2021, finding that adoption reduced training for new workers, increased the share of high-skilled hires, reduced the share of medium-skilled hires, and increased the number of apprenticeship contracts.",Quasi-Experimental,Productivity Impact,Germany,"https://docs.iza.org/dp17367.pdf#:~:text=thereby%20contributing%20to%20skill%20polarization,to%20apply%20AI%20in%20production"
Mark A. Chen & Joanna Wang,Displacement or Augmentation? The Effects of AI Innovation on Workforce Dynamics and Firm Value ,May 2025,"2007-2023 US patent data: AI innovations related to high-level cognition (i.e., language, decision-making, engagement, learning, or creativity) augment human labor, while those related to low-level cognition (i.e., perception or motor control) displace it.","• Uses data on AI related patents in the US from 2007 to 2023.
• AI innovations related to high-level cognition (i.e., language, decision-making, engagement, learning, or creativity) augmented human labor, while those related to low-level cognition (i.e., perception or motor control) displace it.",Quasi-Experimental,Employment Impact (Pre-LLM),US,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5246388
,,,,,,,,
,,,,,,,,
